FA,Type
9.495024,A
7.234304,A
9.04288,A
11.3036,A
14.920752,A
14.016464,A
9.495024,A
11.3036,A
11.3036,A
8.590736,A
8.590736,A
13.56432,A
17.633616,A
7.686448,A
9.04288,A
7.234304,A
8.138592,A
10.851456,A
10.399312,A
9.495024,A
9.04288,P
9.04288,P
7.686448,P
8.590736,P
9.04288,P
7.234304,P
8.138592,P
11.3036,P
8.138592,P
6.78216,P
22.6072,P
6.330016,P
7.686448,P
7.234304,P
7.234304,P
8.138592,P
9.04288,P
7.686448,P
8.590736,P
6.78216,P
8.590736,P
8.590736,P
9.04288,P
9.04288,P
7.686448,P
